启动遗传算法优化
种群大小: 50
进化代数: 500
变异率: 0.05
交叉率: 0.8
精英保留比例: 0.1 (5个体)
初始化模式: random
并行评估: True, workers: 12
日志文件: ga_results/ga_run.log
------------------------------------------------------------
启动遗传算法优化
种群大小: 50
进化代数: 500
变异率: 0.05
交叉率: 0.8
精英保留比例: 0.1 (5个体)
初始化模式: random
并行评估: True, workers: 12
日志文件: ga_results/ga_run.log
------------------------------------------------------------
第   0 代 | 最优适应度:  0.4265 | 平均适应度:  0.2817 | 标准差:  0.0590
第   1 代 | 最优适应度:  0.4333 | 平均适应度:  0.3260 | 标准差:  0.0509
第   2 代 | 最优适应度:  0.4378 | 平均适应度:  0.3682 | 标准差:  0.0396
第   3 代 | 最优适应度:  0.5002 | 平均适应度:  0.3846 | 标准差:  0.0467
第   4 代 | 最优适应度:  0.5394 | 平均适应度:  0.4081 | 标准差:  0.0469
第   5 代 | 最优适应度:  0.5394 | 平均适应度:  0.4407 | 标准差:  0.0398
第   6 代 | 最优适应度:  0.5636 | 平均适应度:  0.4686 | 标准差:  0.0418
第   7 代 | 最优适应度:  0.5728 | 平均适应度:  0.4845 | 标准差:  0.0413
第   8 代 | 最优适应度:  0.5862 | 平均适应度:  0.4970 | 标准差:  0.0448
第   9 代 | 最优适应度:  0.5928 | 平均适应度:  0.5192 | 标准差:  0.0433
第  10 代 | 最优适应度:  0.5928 | 平均适应度:  0.5261 | 标准差:  0.0422
第  11 代 | 最优适应度:  0.5965 | 平均适应度:  0.5222 | 标准差:  0.0441
第  12 代 | 最优适应度:  0.5965 | 平均适应度:  0.5265 | 标准差:  0.0393
第  13 代 | 最优适应度:  0.5965 | 平均适应度:  0.5340 | 标准差:  0.0423
第  14 代 | 最优适应度:  0.6213 | 平均适应度:  0.5395 | 标准差:  0.0427
第  15 代 | 最优适应度:  0.6305 | 平均适应度:  0.5334 | 标准差:  0.0440
第  16 代 | 最优适应度:  0.6530 | 平均适应度:  0.5456 | 标准差:  0.0471
第  17 代 | 最优适应度:  0.6530 | 平均适应度:  0.5671 | 标准差:  0.0428
第  18 代 | 最优适应度:  0.6607 | 平均适应度:  0.5731 | 标准差:  0.0415
第  19 代 | 最优适应度:  0.6625 | 平均适应度:  0.5698 | 标准差:  0.0537
第  20 代 | 最优适应度:  0.6815 | 平均适应度:  0.5723 | 标准差:  0.0607
第  21 代 | 最优适应度:  0.6815 | 平均适应度:  0.5746 | 标准差:  0.0553
第  22 代 | 最优适应度:  0.6815 | 平均适应度:  0.5876 | 标准差:  0.0455
第  23 代 | 最优适应度:  0.6885 | 平均适应度:  0.5962 | 标准差:  0.0481
第  24 代 | 最优适应度:  0.6885 | 平均适应度:  0.5994 | 标准差:  0.0448
第  25 代 | 最优适应度:  0.6885 | 平均适应度:  0.6097 | 标准差:  0.0444
第  26 代 | 最优适应度:  0.6948 | 平均适应度:  0.6039 | 标准差:  0.0466
第  27 代 | 最优适应度:  0.6948 | 平均适应度:  0.6144 | 标准差:  0.0449
第  28 代 | 最优适应度:  0.6948 | 平均适应度:  0.6105 | 标准差:  0.0478
第  29 代 | 最优适应度:  0.6948 | 平均适应度:  0.6217 | 标准差:  0.0454
第  30 代 | 最优适应度:  0.7119 | 平均适应度:  0.6149 | 标准差:  0.0508
第  31 代 | 最优适应度:  0.7119 | 平均适应度:  0.6240 | 标准差:  0.0444
第  32 代 | 最优适应度:  0.7119 | 平均适应度:  0.6299 | 标准差:  0.0476
第  33 代 | 最优适应度:  0.7119 | 平均适应度:  0.6391 | 标准差:  0.0382
第  34 代 | 最优适应度:  0.7119 | 平均适应度:  0.6237 | 标准差:  0.0465
第  35 代 | 最优适应度:  0.7119 | 平均适应度:  0.6342 | 标准差:  0.0437
第  36 代 | 最优适应度:  0.7306 | 平均适应度:  0.6330 | 标准差:  0.0466
第  37 代 | 最优适应度:  0.7306 | 平均适应度:  0.6417 | 标准差:  0.0419
第  38 代 | 最优适应度:  0.7457 | 平均适应度:  0.6383 | 标准差:  0.0540
第  39 代 | 最优适应度:  0.7457 | 平均适应度:  0.6485 | 标准差:  0.0441
第  40 代 | 最优适应度:  0.7457 | 平均适应度:  0.6466 | 标准差:  0.0469
第  41 代 | 最优适应度:  0.7457 | 平均适应度:  0.6519 | 标准差:  0.0490
第  42 代 | 最优适应度:  0.7457 | 平均适应度:  0.6493 | 标准差:  0.0437
第  43 代 | 最优适应度:  0.7457 | 平均适应度:  0.6470 | 标准差:  0.0589
第  44 代 | 最优适应度:  0.7457 | 平均适应度:  0.6398 | 标准差:  0.0510
第  45 代 | 最优适应度:  0.7457 | 平均适应度:  0.6411 | 标准差:  0.0525
第  46 代 | 最优适应度:  0.7457 | 平均适应度:  0.6551 | 标准差:  0.0456
第  47 代 | 最优适应度:  0.7457 | 平均适应度:  0.6396 | 标准差:  0.0495
第  48 代 | 最优适应度:  0.7534 | 平均适应度:  0.6485 | 标准差:  0.0490
第  49 代 | 最优适应度:  0.7534 | 平均适应度:  0.6549 | 标准差:  0.0487
第  50 代 | 最优适应度:  0.7534 | 平均适应度:  0.6439 | 标准差:  0.0515
第  51 代 | 最优适应度:  0.7534 | 平均适应度:  0.6360 | 标准差:  0.0571
第  52 代 | 最优适应度:  0.7534 | 平均适应度:  0.6460 | 标准差:  0.0480
第  53 代 | 最优适应度:  0.7534 | 平均适应度:  0.6500 | 标准差:  0.0500
第  54 代 | 最优适应度:  0.7534 | 平均适应度:  0.6489 | 标准差:  0.0528
第  55 代 | 最优适应度:  0.7534 | 平均适应度:  0.6507 | 标准差:  0.0490
第  56 代 | 最优适应度:  0.7534 | 平均适应度:  0.6623 | 标准差:  0.0459
第  57 代 | 最优适应度:  0.7534 | 平均适应度:  0.6575 | 标准差:  0.0499
第  58 代 | 最优适应度:  0.7534 | 平均适应度:  0.6630 | 标准差:  0.0440
第  59 代 | 最优适应度:  0.7534 | 平均适应度:  0.6638 | 标准差:  0.0442
第  60 代 | 最优适应度:  0.7534 | 平均适应度:  0.6584 | 标准差:  0.0425
第  61 代 | 最优适应度:  0.7534 | 平均适应度:  0.6541 | 标准差:  0.0466
第  62 代 | 最优适应度:  0.7534 | 平均适应度:  0.6527 | 标准差:  0.0472
第  63 代 | 最优适应度:  0.7534 | 平均适应度:  0.6612 | 标准差:  0.0459
第  64 代 | 最优适应度:  0.7534 | 平均适应度:  0.6540 | 标准差:  0.0446
第  65 代 | 最优适应度:  0.7534 | 平均适应度:  0.6622 | 标准差:  0.0487
第  66 代 | 最优适应度:  0.7534 | 平均适应度:  0.6483 | 标准差:  0.0491
第  67 代 | 最优适应度:  0.7534 | 平均适应度:  0.6633 | 标准差:  0.0528
第  68 代 | 最优适应度:  0.7534 | 平均适应度:  0.6588 | 标准差:  0.0469
第  69 代 | 最优适应度:  0.7534 | 平均适应度:  0.6504 | 标准差:  0.0525
第  70 代 | 最优适应度:  0.7534 | 平均适应度:  0.6582 | 标准差:  0.0487
第  71 代 | 最优适应度:  0.7534 | 平均适应度:  0.6568 | 标准差:  0.0465
第  72 代 | 最优适应度:  0.7534 | 平均适应度:  0.6538 | 标准差:  0.0491
第  73 代 | 最优适应度:  0.7534 | 平均适应度:  0.6578 | 标准差:  0.0540
第  74 代 | 最优适应度:  0.7534 | 平均适应度:  0.6618 | 标准差:  0.0433
